baseline,baseline,baseline,baseline,baseline,baseline,SI2,SI2,SI2,SI2,SI2,SI2,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,adapJerk,
final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,final costs,avg Hz,avgTimeDerivs,avgTimeBP,avgTimeFP,avgpercent derivs,
0.0224412,48.7791,18.2085,0.730234,1.56184,100,0.555451,60.6803,12.9474,0.704227,2.82817,52,0.04969,94.3346,7.20852,0.685395,2.70664,25.8504,
0.012184,49.8566,17.8419,0.73391,1.48168,100,0.0136292,71.3261,11.3382,0.733685,1.94827,52,0.031074,94.5463,7.86547,0.722798,1.98856,25.3807,
9.34525,33.2957,25.2121,0.704717,4.11706,100,1.31986,67.1294,9.73901,0.655528,4.50205,52,0.694042,94.3844,7.41605,0.707021,2.47191,29.8222,
2.70217,37.7325,22.5399,0.716354,3.2461,100,5.56857,64.0118,10.2843,0.669209,4.66866,52,0.564696,95.8741,8.1021,0.713766,1.61447,32.2333,
0.0343836,42.7815,21.3483,0.721704,1.30458,100,0.578169,60.0834,12.3254,0.675801,3.6423,52,0.0484207,101.605,7.11734,0.695603,2.02909,26.2407,
21.3673,32.4412,26.4704,0.687863,3.66672,100,2.28365,61.8195,11.7594,0.679994,3.73673,52,0.0603363,77.3403,9.75615,0.686063,2.48766,24.8991,
2.41779,38.0614,22.9952,0.718972,2.55914,100,2.14399,61.4601,11.8779,0.704133,3.68865,52,0.310829,98.1939,7.25995,0.712643,2.21134,28.8376,
3.89449,30.9745,27.5918,0.682694,4.01015,100,9.06988,57.4922,11.5774,0.667449,5.14883,52,0.146766,94.8243,7.54826,0.703406,2.29415,30.5189,
3.751,31.7348,26.9206,0.689482,3.90104,100,4.49059,54.4983,12.382,0.668937,5.29823,52,0.326417,91.9285,7.69294,0.702198,2.48289,31.2104,
0.0260739,49.6726,17.5849,0.718531,1.82843,100,1.64697,49.2898,16.698,0.71445,2.87569,52,4.66147,82.6075,7.92193,0.680899,3.50261,26.1242,
0.0175342,47.5408,18.4552,0.723587,1.85584,100,1.16888,53.6989,14.339,0.701275,3.58209,52,0.113387,98.9759,7.33092,0.69526,2.07729,26.5189,
0.0183034,46.5327,19.3399,0.723549,1.42682,100,0.294423,52.2909,14.8523,0.701194,3.57034,52,0.894978,82.4584,8.51593,0.676572,2.93483,26.7289,
4.79271,31.584,27.5246,0.682563,3.45446,100,8.32197,59.0272,10.9795,0.653105,5.30879,52,0.131286,102.516,6.83904,0.678645,2.23689,31.2598,
0.0496568,49.1066,18.1202,0.733159,1.5105,100,2.25301,59.2474,13.114,0.690828,3.07357,52,0.26369,95.4898,7.17192,0.668646,2.63176,27.2402,
0.0174171,45.1468,19.7145,0.724193,1.7113,100,0.581991,56.311,13.6232,0.698651,3.43662,52,0.238902,74.8098,9.59115,0.666118,3.10996,26.3467,
