baseline,baseline,baseline,baseline,baseline,SI5,SI5,SI5,SI5,SI5,SI1000,SI1000,SI1000,SI1000,SI1000,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,adaptive_jerk_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,iterative_error_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,magvel_change_5,
optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,optTime,Cost reduction,avgPercentDerivs,avgTimeDerivs,numIterations,
6390.95,0.271261,100,1110.87,5,1423.3,0.268451,20.0357,237.079,4,955.061,0.284622,0.142857,8.3362,5,559.256,0.269548,1.11706,21.5617,4,931.334,0.0907895,1.43155,50.158,4,869.739,0.265896,5.18254,99.678,4,
5227.9,0.202792,100,1110.9,4,1690.15,0.204951,20.0357,233.52,4,1096.33,0.392602,0.142857,11.7593,6,813.977,0.207052,1.04067,19.2677,4,983.287,0.303538,0.85,23.3378,5,1010.64,0.210996,3.30159,65.3565,4,
6138.78,0.302395,100,1068.12,5,1903.87,0.317884,20.0357,223.549,5,961.371,0.32982,0.142857,8.7048,5,538.254,0.16835,1.0496,19.0392,4,921.721,0.00729662,0.87963,26.5403,3,1183.23,0.323096,2.45079,72.1718,5,
6437.23,0.223592,100,1111.83,5,2063.4,0.311594,20.0357,242.334,5,879.451,0.123139,0.142857,13.0668,4,831.573,0.152226,1.05754,18.7525,4,944.803,0.0663914,1.39583,40.8642,4,1208.21,0.147394,4.78373,112.962,4,
4997.33,0.182443,100,1062.75,4,1623.45,0.184577,20.0357,226.427,4,933.021,0.411498,0.142857,7.1326,5,794.976,0.193773,1.04563,16.3335,4,1651.25,0.275162,1.82029,61.5486,7,855.919,0.183846,1.98313,40.0672,4,
5591.98,0.205505,100,1201.03,4,1793.59,0.207154,20.0357,253.542,4,936.798,0.392367,0.142857,8.4694,5,845.621,0.209837,1.04167,18.7638,4,1049.64,0.305238,0.770635,27.0024,5,1046.73,0.207663,3.30357,71.599,4,
2334.45,0,100,373.21,3,1462.76,0,20.0357,86.696,3,1077.63,0.17787,0.142857,9.82,4,1223.05,0,1.09127,6.175,3,1087.71,0.27168,1.17381,39.4056,5,1319.1,0,5.8254,39.9897,3,
7633.15,0.327864,100,1088.83,6,2443.66,0.343633,20.0357,227.73,6,975.478,0.3122,0.142857,13.7747,6,1264.93,0.353983,1.37434,29.6627,6,1306.41,0.378461,1.84354,51.6351,7,1513.42,0.353342,3.03638,71.6867,6,
5427.02,0.311253,100,1213.43,4,2194.78,0.321642,20.0357,253.101,5,1002.58,0.328956,0.142857,13.3296,5,656.962,0.322544,1.13591,25.1463,4,1030.86,0.108428,2.56052,74.487,4,1810.57,0.321698,9.4754,177.102,5,
5307.5,0.344338,100,1188.17,4,2200.48,0.376359,20.0357,251.933,5,996.218,0.374258,0.142857,12.8224,5,1039.66,0.376405,1.06032,21.4558,5,1054.32,0.154988,2.26389,75.2025,4,1707,0.377961,7.48095,154.797,5,
7673.23,0.327671,100,1094.59,6,2523.89,0.398238,20.0357,240.565,6,956.835,0.334068,0.142857,11.5183,6,1196.76,0.400518,1.08003,20.1055,6,908.953,0.000896661,0.613757,20.4463,3,1505.33,0.38238,3.64947,71.732,6,
2378.11,0,100,389.997,3,1488.29,0,20.0357,89.232,3,866.47,0.234634,0.142857,10.436,4,1212.77,0.408936,1.43651,32.1548,6,1074.65,0.00332975,1.9504,38.3447,3,1359.61,0,8.40079,50.6057,3,
6859.43,0.304378,100,1181.5,5,2178.75,0.31091,20.0357,250.425,5,795.528,0.287233,0.142857,15.5556,5,847.508,0.291375,1.13988,24.7003,4,1078.55,0.10267,2.85317,80.584,4,1810.44,0.3056,8.66349,176.795,5,
2191.35,0,100,362.006,3,1366.51,0,20.0357,84.494,3,888.182,0.0239675,0.142857,5.47133,3,1229.17,0.00480587,1.17659,16.4217,3,1343.13,0,8.72619,72.3757,3,1299.49,0,6.68651,41.0747,3,
8272.09,0.409433,100,1159.62,6,2774.76,0.422085,20.0357,243.829,6,1103.22,0.215287,0.142857,15.919,4,1106.71,0.274546,1.12599,19.3423,4,1065.03,0.206838,1.85615,74.9645,4,2146.51,0.42376,7.47421,140.482,6,
2269.09,0,100,385.874,3,1360.88,0,20.0357,83.641,3,906.227,0.0146256,0.142857,6.06267,3,1171.83,0.000402867,1.17857,15.8117,3,1271.04,0,8.28571,55.82,3,1250.6,0,6.55952,42.1967,3,
4934.02,0.138912,100,1043.26,4,1633.58,0.14101,20.0357,224.98,4,565.559,0.11291,0.142857,7.81325,4,810.477,0.150126,1.04563,17.9878,4,1122.6,0,0.563492,7.454,3,917.324,0.140179,2.4256,44.5638,4,
